ID	hgnc_id	symbol	prev_symbol
49174	HGNC:49174	ELOCP33	TCEB1P33
49175	HGNC:49175	ELOCP34	TCEB1P34
49176	HGNC:49176	ELOCP35	TCEB1P35
54973	HGNC:54973	ELOCP36	
28691	HGNC:28691	ELOF1	
14418	HGNC:14418	ELOVL1	
14416	HGNC:14416	ELOVL2	
44156	HGNC:44156	ELOVL2-AS1	
18047	HGNC:18047	ELOVL3	
14415	HGNC:14415	ELOVL4	STGD2|STGD3|SCA34
21308	HGNC:21308	ELOVL5	SCA38
15829	HGNC:15829	ELOVL6	
26292	HGNC:26292	ELOVL7	
5959	HGNC:5959	ELP1	DYS|IKBKAP
18248	HGNC:18248	ELP2	STATIP1
20696	HGNC:20696	ELP3	
1171	HGNC:1171	ELP4	C11orf19
30617	HGNC:30617	ELP5	C17orf81
25976	HGNC:25976	ELP6	TMEM103|C3orf75
14417	HGNC:14417	ELSPBP1	
30465	HGNC:30465	EMB	
38661	HGNC:38661	EMBP1	
28957	HGNC:28957	EMC1	KIAA0090
54050	HGNC:54050	EMC1-AS1	
28963	HGNC:28963	EMC2	KIAA0103|TTC35
23999	HGNC:23999	EMC3	TMEM111
49223	HGNC:49223	EMC3-AS1	
28032	HGNC:28032	EMC4	TMEM85
28430	HGNC:28430	EMC6	TMEM93
24301	HGNC:24301	EMC7	C15orf24
7864	HGNC:7864	EMC8	C16orf4|NOC4|C16orf2|COX4NB
20273	HGNC:20273	EMC9	C14orf122|FAM158A
27609	HGNC:27609	EMC10	C19orf63
16041	HGNC:16041	EMCN	
3331	HGNC:3331	EMD	
24965	HGNC:24965	EME1	
27289	HGNC:27289	EME2	
16912	HGNC:16912	EMG1	
53656	HGNC:53656	EMICERI	
18036	HGNC:18036	EMID1	
19880	HGNC:19880	EMILIN1	
19881	HGNC:19881	EMILIN2	
16123	HGNC:16123	EMILIN3	C20orf130|EMILIN5
3330	HGNC:3330	EML1	EMAPL
18035	HGNC:18035	EML2	
48331	HGNC:48331	EML2-AS1	C19orf83
26666	HGNC:26666	EML3	
1316	HGNC:1316	EML4	C2orf2
40112	HGNC:40112	EML4-AS1	
